visitor_flow,pop_flow,time
8780730,129190739,2020/1/6
8555141,131831337,2020/1/13
8365256,132021377,2020/1/20
8195806,134243938,2020/1/27
7471122,105388306,2020/2/3
7393029,108248330,2020/2/10
7063985,111675115,2020/2/17
8021583,120589355,2020/2/24
7823693,122600945,2020/3/2
7040474,119338345,2020/3/9
4258347,87779649,2020/3/16
3731276,82909744,2020/3/23
3473595,81702185,2020/3/30
3335118,76848757,2020/4/6
3380754,88862911,2020/4/13
3597560,84513601,2020/4/20
3898445,92626569,2020/4/27
4154311,93461343,2020/5/4
4199324,95346766,2020/5/11
4395154,98583905,2020/5/18
4645686,92669028,2020/5/25
5116662,98250357,2020/6/1
5307371,102279673,2020/6/8
5255632,102481228,2020/6/15
5504731,103504143,2020/6/22
5420561,106580547,2020/6/29
5366771,107409650,2020/7/6
5451795,102198853,2020/7/13
5451795,101687910,2020/7/20
5538440,98126961,2020/7/27
5573800,95211775,2020/8/3
5454781,98980706,2020/8/10
5744048,102178247,2020/8/17
5265896,99474650,2020/8/24
5656972,95118090,2020/8/31
5455508,93194610,2020/9/7
5205147,92909507,2020/9/14
5337074,92947577,2020/9/21
5531807,101111432,2020/9/28
5519283,97749362,2020/10/5
5628422,98952072,2020/10/12
5590521,100385724,2020/10/19
5367486,95361160,2020/10/26
5320834,97291844,2020/11/2
5233751,97068079,2020/11/9
5112341,98404220,2020/11/16
4799343,92976170,2020/11/23
5243417,119136952,2020/11/30
5228194,119185880,2020/12/7
5219915,120001436,2020/12/14
4828471,117688192,2020/12/21
4993043,117255289,2020/12/28